cooperative_id,province,district,subdistrict,latitude,longitude,h3,k_any_road,k_non_track,km_any_road,km_non_track,road_band,track_only,m_to_any_road,m_to_made_road,km_to_made_road
60505,PAPUA TENGAH,KAB. NABIRE,Menou,-3.78297692,135.1405221,623511082072113151,,,,,> ~5 km / none found,False,10937.70337008284,16364.260006145858,16.36
92534,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,Ukha,-4.31111749,138.88595008,623511847512997887,,,,,> ~5 km / none found,False,15663.104360674806,16363.99912486213,16.36
88424,PAPUA SELATAN,KAB. ASMAT,Atsj,-5.83300546,138.50753415,624256184157274111,,,,,> ~5 km / none found,False,16358.344891444285,16358.344891444285,16.36
74665,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,Dumoga Barat,0.4788689,123.7232439,623341570321940479,,,,,> ~5 km / none found,False,15624.577807969443,16356.076373602296,16.36
87599,PAPUA BARAT DAYA,KAB. TAMBRAUW,Miyah Selatan,-1.06334579,132.71041559,623514745176522751,,,,,> ~5 km / none found,False,16346.656111307791,16346.656111307791,16.35
52049,KALIMANTAN UTARA,KAB. NUNUKAN,Lumbis Pansiangan,4.1381258,116.286483,623327667708264447,,,,,> ~5 km / none found,False,14351.308013976139,16342.144898895156,16.34
92808,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,Soba,-4.37246019,139.18926522,623511856813211647,,,,,> ~5 km / none found,False,16336.298670571538,16336.298670571538,16.34
88364,PAPUA SELATAN,KAB. MERAUKE,Okaba,-8.01595024,139.45849874,624254562306981887,,,,,> ~5 km / none found,False,15805.075205973839,16327.113683513775,16.33
89259,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,Lolat,-4.49337655,139.38818893,623511823782346751,,,,,> ~5 km / none found,False,16320.887976713184,16320.887976713184,16.32
45091,PAPUA TENGAH,KAB. MIMIKA,Jila,-4.39283213,137.6034092,623511775924158463,,,,,> ~5 km / none found,False,16316.781988286573,16316.781988286573,16.32
51844,ACEH,KAB. GAYO LUES,Blangpegayon,3.77960997,97.30247091,623274224443293695,,,,,> ~5 km / none found,False,16159.272196562764,16314.876568706577,16.31
71835,JAMBI,KAB. MUARO JAMBI,Kumpeh,-1.46688668,104.144801,623969013871837183,,,,,> ~5 km / none found,False,14496.514493458471,16314.219921008327,16.31
82996,KALIMANTAN TENGAH,KAB. KOTAWARINGIN TIMUR,Bukit Santuai,-1.61235287,112.1213359,623336524497387519,20.0,,2.64,,> ~5 km / none found,True,2373.7340949835984,16291.060139563526,16.29
90643,PAPUA TENGAH,KAB. PUNCAK JAYA,Dagai,-3.06867544,138.03889896,623511643962343423,,,,,> ~5 km / none found,False,16281.805277631096,16281.805277631096,16.28
85505,PAPUA SELATAN,KAB. ASMAT,Agats,-5.69347609,138.15472745,624256192158498815,,,,,> ~5 km / none found,False,11836.43622496044,16277.908209015872,16.28
21556,MALUKU UTARA,KAB. HALMAHERA TENGAH,Patani Timur,0.52897284,128.8318474,623529835572625407,1.0,,0.132,,> ~5 km / none found,True,110.91484479604458,16269.911499792628,16.27
61374,KALIMANTAN TIMUR,KAB. BERAU,Sambaliung,1.88089518,117.5048271,623338100318830591,,,,,> ~5 km / none found,False,14422.171923334701,16264.403940342,16.26
23019,KALIMANTAN BARAT,KAB. KETAPANG,Hulu Sungai,-0.7487031,111.0547416,623971938735587327,,,,,> ~5 km / none found,False,14919.711584467077,16249.720826789755,16.25
54418,ACEH,KAB. ACEH TENGGARA,Ketambe,3.64279925,97.49047127,623274221156007935,,,,,> ~5 km / none found,False,16245.344222299276,16245.344222299276,16.25
91133,PAPUA PEGUNUNGAN,KAB. PEGUNUNGAN BINTANG,Alemsom,-4.87772014,140.06052644,623516996387504127,,,,,> ~5 km / none found,False,16239.404153417667,16239.404153417667,16.24
93109,PAPUA PEGUNUNGAN,KAB. NDUGA,Yal,-4.50144,138.802245,623511814501957631,29.0,,3.828,,> ~5 km / none found,True,3608.307900608533,16237.21808750071,16.24
90274,PAPUA PEGUNUNGAN,KAB. PEGUNUNGAN BINTANG,Oklip,-4.72511933,140.77771005,623516571106148351,29.0,,3.828,,> ~5 km / none found,True,3982.335575813991,16234.683940440875,16.23
84217,MALUKU,KAB. SERAM BAGIAN TIMUR,Kilmury,-3.55977503,130.5594,624123325898522623,,,,,> ~5 km / none found,False,13328.980630013859,16226.364678532484,16.23
92894,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,Sela,-4.55004747,139.68819314,623516985903841279,,,,,> ~5 km / none found,False,16214.772245086044,16214.772245086044,16.21
93101,PAPUA BARAT DAYA,KAB. RAJA AMPAT,Misool Selatan,-1.91139297,130.28560103,624125201269456895,,,,,> ~5 km / none found,False,16213.012240716109,16213.012240716109,16.21
50716,PAPUA BARAT DAYA,KAB. RAJA AMPAT,Tiplol Mayalibit,-0.14142327,130.6740396,623530313016705023,,,,,> ~5 km / none found,False,16203.234241760896,16203.234241760896,16.2
88794,PAPUA PEGUNUNGAN,KAB. MAMBERAMO TENGAH,Eragayam,-3.55258087,138.78052405,623511726118010879,,,,,> ~5 km / none found,False,16199.997098416534,16199.997098416534,16.2
88343,PAPUA SELATAN,KAB. ASMAT,Jetsy,-5.657136,138.251828,624256180480835583,,,,,> ~5 km / none found,False,16194.374420681179,16194.374420681179,16.19
89473,PAPUA TENGAH,KAB. DOGIYAI,Sukikai Selatan,-4.05781103,135.26758554,623511318440214527,,,,,> ~5 km / none found,False,16166.213666539648,16166.213666539648,16.17
67509,PAPUA BARAT,KAB. FAK FAK,Fak-Fak Timur,-3.21007046,132.79344307,623514596878090239,25.0,,3.3,,> ~5 km / none found,True,3514.242381352518,16161.64267212838,16.16
93702,PAPUA BARAT DAYA,KAB. RAJA AMPAT,Kepulauan Ayau,0.49972403,131.12447394,623530341068111871,,,,,> ~5 km / none found,False,16158.418792905666,16158.418792905666,16.16
91517,PAPUA PEGUNUNGAN,KAB. YALIMO,Welarek,-4.04406378,139.38235186,623511700341391359,,,,,> ~5 km / none found,False,16155.936274669353,16155.936274669353,16.16
93100,PAPUA PEGUNUNGAN,KAB. NDUGA,Yal,-4.4858675,138.771833,623511814571196415,0.0,,0.0,,> ~5 km / none found,True,5.642553339045763,16150.145300071388,16.15
82804,ACEH,KAB. ACEH BARAT DAYA,Blangpidie,3.76694254,97.03300534,623279386166099967,,,,,> ~5 km / none found,False,16148.509710394832,16148.509710394832,16.15
34418,MALUKU,KAB. KEPULAUAN ARU,Aru Tengah,-6.32751892,134.5747396,623513137555570687,,,,,> ~5 km / none found,False,16147.091438018408,16147.091438018408,16.15
90105,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,Anggruk,-4.21327048,139.2964597,623511853926547455,,,,,> ~5 km / none found,False,16112.787006612109,16112.787006612109,16.11
93527,PAPUA TENGAH,KAB. PANIAI,Kopay,-6.32472306,138.69046478,624255984923082751,,,,,> ~5 km / none found,False,16108.419610795248,16108.419610795248,16.11
88087,PAPUA SELATAN,KAB. ASMAT,Fayit,-6.02366495,138.52914947,624256213712437247,,,,,> ~5 km / none found,False,16104.017027006717,16104.017027006717,16.1
92426,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,Samenage,-4.40231066,139.0148876,623511815391182847,,,,,> ~5 km / none found,False,7690.608215450231,16100.673582507183,16.1
87729,MALUKU UTARA,KAB. HALMAHERA SELATAN,Bacan Barat Utara,-0.35466092,127.42796478,623529889956757503,,,,,> ~5 km / none found,False,9108.201467953128,16096.819444333336,16.1
91131,PAPUA PEGUNUNGAN,KAB. PEGUNUNGAN BINTANG,Alemsom,-4.73965319,140.23065984,623516990205788159,,,,,> ~5 km / none found,False,16096.266939116094,16096.266939116094,16.1
31838,KEPULAUAN RIAU,KAB. LINGGA,Temiang Pesisir,0.33841648,104.3814793,623276090621788159,13.0,,1.716,,> ~5 km / none found,True,1709.555402044799,16088.998379301467,16.09
64690,PAPUA,KAB. BIAK NUMFOR,Padaido,-1.22330017,136.44534977,623514227269140479,,,,,> ~5 km / none found,False,16087.613093001855,16087.613093001855,16.09
91149,PAPUA PEGUNUNGAN,KAB. PEGUNUNGAN BINTANG,Awinbon,-5.09626211,140.28960554,623516744853061631,,,,,> ~5 km / none found,False,6163.484143375746,16083.271450865244,16.08
93234,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,Kurima,-4.31353513,138.89328634,623511847516700671,,,,,> ~5 km / none found,False,15101.220542954748,16072.779782636226,16.07
